"","team","season","draft_value_added","dv_off","dv_def","dv_qb","dv_t1","dv_t2","dv_t3","dv_t4"
"1","CLE",1999,9753,4506,5247,360,3891,3984,1518,0
"2","SF",1999,8991,1940,7051,1170,1659,3054,3108,0
"3","NYJ",1999,8225,4142,4083,1535,3712,1648,1330,0
"4","WAS",1999,7753,3492,4261,310,3256,1538,2649,0
"5","GB",1999,7434,4476,2958,0,2869,1824,2741,0
"6","DEN",1999,7229,2738,4491,281,1270,4203,1475,0
"7","PIT",1999,7005,4478,2527,419,2378,3396,812,0
"8","SEA",1999,6966,4104,2862,0,2129,2160,2677,0
"9","CHI",1999,6411,1988,4037,0,0,3141,2884,386
"10","MIN",1999,6303,1786,4517,0,3727,994,1582,0
"11","CIN",1999,6281,4146,1735,0,0,4909,972,400
"12","ARI",1999,6212,2430,3782,0,1730,656,3826,0
"13","BAL",1999,5987,5297,690,812,806,1833,2536,0
"14","PHI",1999,5968,3502,2466,0,3719,1855,394,0
"15","TEN",1999,5716,1374,4342,0,1255,1071,3390,0
"16","NYG",1999,5506,2611,2895,0,1380,1322,2804,0
"17","JAX",1999,5332,3529,1803,0,1914,2281,1137,0
"18","KC",1999,5294,3144,2150,0,346,4353,595,0
"19","CAR",1999,4801,1130,3671,0,2175,2362,264,0
"20","BUF",1999,4795,1249,3546,0,1679,1750,1366,0
"21","NE",1999,4784,3445,1339,318,2342,349,1775,0
"22","LA",1999,4599,2871,1728,0,2110,1229,1260,0
"23","NO",1999,4582,3026,1556,403,2006,643,1530,0
"24","IND",1999,4487,503,3984,0,1301,941,2245,0
"25","DET",1999,4313,2255,2058,0,2044,478,1791,0
"26","LAC",1999,4300,1938,2362,302,1627,2014,357,0
"27","LV",1999,4227,1300,874,0,632,1291,251,2053
"28","ATL",1999,3902,2227,1675,0,1836,1197,869,0
"29","MIA",1999,3430,1575,1855,0,1394,1449,587,0
"30","DAL",1999,2769,481,2288,0,0,2019,750,0
"31","TB",1999,2733,1680,1053,235,1007,333,1158,0
"32","SEA",2000,8749,5908,2841,391,2596,4349,1413,0
"33","ARI",2000,8421,3268,4477,0,4945,2590,210,676
"34","LA",2000,8313,1451,6862,0,3035,2874,2404,0
"35","BUF",2000,7590,2724,4866,0,3265,2437,1888,0
"36","ATL",2000,7472,5879,1593,3000,1599,1019,1854,0
"37","NE",2000,6741,2671,3794,0,3817,1058,1590,276
"38","CLE",2000,6687,2632,4055,0,2750,2534,1403,0
