"","player","year","draft_year","qbr_pct","mean_epa","grades_offense","cpoe","pressure_to_sack_rate","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","cpoe_tot","ptsr_tot","plays_tot"
"1","Tom Brady",2007,2000,0.988353979772532,0.37909899858632,93.9,7.41245135686821,13.5,733,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"2","Aaron Rodgers",2011,2005,0.983651886315458,0.355468031598875,92.7,7.42692848815217,22.7,637,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"3","Aaron Rodgers",2020,2005,0.981036555815742,0.312786890812281,95.1,6.77910979304995,15.6,660,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"4","Lamar Jackson",2024,2018,0.978350788358136,0.299823753848143,94.9,5.08334730344125,11.2,597,0.947985789496349,0.151695555005889,82.6389319092123,1.71496895980152,0.186909090909091,4479
"5","Patrick Mahomes",2018,2017,0.978268090833108,0.321112521330035,92.9,3.72181530752575,13.3,722,0.986311844782709,0.229853242061069,87.3423252775963,2.88014484254724,0.127845036319613,6164
"6","Matt Ryan",2016,2008,0.977703718167566,0.325750444601077,92.2,7.14214755795323,19.2,698,0.905821684389687,0.103304957449785,80.730351371077,2.39272746788411,0.1603125,9661
"7","Drew Brees",2011,2001,0.97553816612294,0.304057599961944,93.2,7.1076220705321,13.8,806,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
"8","Peyton Manning",2013,1998,0.974122376836806,0.300665469898944,92.9,6.54009954665628,10.4,806,0.981802038743403,0.202984716390671,87.4769541099344,4.3717511069132,0.112998040496408,5990
"9","Aaron Rodgers",2014,2005,0.972865760208354,0.290666428912997,93.3,2.74465303765993,17.5,650,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"10","Tom Brady",2016,2000,0.972755548335859,0.272797902797792,94.9,3.49426990411059,12.8,614,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"11","Josh Allen",2024,2018,0.972394967982381,0.303814950576136,91.9,2.00867637046682,9,634,0.972361552079109,0.177106759004031,86.2542631281762,2.1290907830839,0.136411332633788,5805
"12","Drew Brees",2018,2001,0.97026098874298,0.272005760748125,94,5.99980848695902,13.8,592,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
"13","Patrick Mahomes",2022,2017,0.969736568275197,0.291606939364429,92,4.10069776976362,10.1,835,0.986311844782709,0.229853242061069,87.3423252775963,2.88014484254724,0.127845036319613,6164
"14","Philip Rivers",2009,2004,0.968021187374614,0.296804656491789,90.9,6.76118613397539,16.7,565,0.917394847674772,0.140416573109404,78.8187452677123,3.3383302806734,0.156499520919834,9390
"15","Josh McCown",2013,2002,0.967920799060609,0.345309065542005,86.4,4.87264641306617,12.2,243,0.420879845217913,-0.0159648682673421,60.7247076023392,0.236423726068185,0.201492537313433,2085
"16","Patrick Mahomes",2019,2017,0.967414872857799,0.304267282275974,90,2.2557084603856,11.6,659,0.986311844782709,0.229853242061069,87.3423252775963,2.88014484254724,0.127845036319613,6164
"17","Patrick Mahomes",2020,2017,0.96470187709038,0.274765963363375,91.8,2.26338298481345,9.6,779,0.986311844782709,0.229853242061069,87.3423252775963,2.88014484254724,0.127845036319613,6164
"18","Peyton Manning",2007,1998,0.964124190410676,0.244482131740713,94.4,4.00483362150915,11.2,585,0.981802038743403,0.202984716390671,87.4769541099344,4.3717511069132,0.112998040496408,5990
"19","Tom Brady",2011,2000,0.963721633291315,0.302833869672223,88.9,4.27588781331505,17.1,771,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"20","Lamar Jackson",2019,2018,0.960854700938198,0.280156406943394,90.1,2.75511695814567,16.4,537,0.947985789496349,0.151695555005889,82.6389319092123,1.71496895980152,0.186909090909091,4479
"21","Jimmy Garoppolo",2017,2014,0.95853310846558,0.310788615700216,86.6,6.00594937462698,12.9,190,0.851707203026036,0.130461860741263,72.7147266313933,0.465782544219835,0.210826210826211,2340
"22","Tom Brady",2017,2000,0.957944697296358,0.227484420666351,94.1,3.47483151025705,16.3,767,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"23","Ryan Tannehill",2020,2012,0.957763566756043,0.26495395657296,90.6,2.80986950713761,14.6,556,0.787563695764108,0.0411447439112735,75.8522718944668,1.50029000300119,0.21996879875195,5646
"24","Drew Brees",2009,2001,0.957630107249767,0.296052415177988,87.7,7.39206199477655,13.3,643,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
